,symbol,ltp,percent_change,open,high,low,quantity
0,ACLBSL,943.0,-0.74,969.0,943.0,968.0,3235
1,ADBL,298.0,-0.33,304.8,296.2,302.0,10054
2,ADBLD83,1050.7,-0.03,1050.8,1050.7,1050.8,105
3,AHL,552.0,-1.94,566.0,552.0,563.0,5921
4,AHPC,264.0,-0.79,270.0,264.0,267.0,90441
5,AKJCL,322.0,-1.5,333.0,320.4,320.4,1258177
6,AKPL,265.0,-1.12,271.9,265.0,265.1,428824
7,ALBSL,1135.0,1.61,1140.0,1087.0,1111.0,27933
8,ALICL,477.0,-0.42,482.7,474.3,475.0,26671
9,ANLB,6001.0,-0.15,6005.0,5940.1,5940.1,72
10,API,296.5,-0.5,300.0,292.1,300.0,124815
11,AVYAN,941.0,-1.88,960.0,940.0,959.0,5569
12,BANDIPUR,1140.0,0.0,1190.0,1125.0,1162.0,212693
13,BARUN,378.0,4.13,383.5,355.8,355.8,601627
14,BBC,4859.0,-0.49,4900.0,4786.4,4900.0,655
15,BEDC,535.0,-0.94,549.0,530.0,545.0,14287
16,BFC,479.0,-1.24,493.0,477.0,493.0,28039
17,BGWT,766.2,-1.64,791.0,763.0,766.0,5283
18,BHCL,623.0,-2.35,650.7,618.0,650.7,106055
19,BHDC,478.0,-0.62,489.0,471.5,471.5,56115
20,BHL,196.5,-3.2,205.0,196.2,205.0,329580
21,BHPL,568.9,-0.05,593.6,557.9,557.9,35873
22,BNHC,563.0,2.18,579.0,541.1,552.0,62141
23,BNL,15500.0,-1.9,15600.2,15282.2,15594.0,260
24,BNT,11810.0,0.28,11925.0,11810.0,11925.0,35
25,BOKD86KA,1167.0,-1.93,1167.0,1167.0,1167.0,100
26,BPCL,739.0,-0.67,753.0,729.3,729.3,85262
27,BUNGAL,720.0,-2.7,750.0,710.6,749.9,35538
28,C30MF,9.77,-1.81,9.78,9.76,9.76,2250
29,CBBL,933.0,-0.21,935.0,925.1,935.0,11195
30,CFCL,555.0,0.34,570.0,551.5,564.1,28552
31,CGH,891.0,2.65,902.0,864.0,885.0,45386
32,CHCL,469.0,-0.64,474.9,468.1,474.0,29136
33,CHDC,2347.0,-1.96,2401.1,2331.0,2400.0,22496
34,CHL,277.0,-0.72,284.0,276.0,280.0,62358
